"编号","场景","中文提示","日语答案","日语读音","替换练习"
"013","自我介绍、公司介绍和业务介绍","我主要负责面向企业客户的案件。","私は主に法人向けの案件を担当しています。","わたしはおもにほうじんむけのあんけんをたんとうしています。","法人向けの案件 → 私は主に海外向けの案件を担当しています。"
"014","自我介绍、公司介绍和业务介绍","东京这边的窗口由我负责。","東京側の窓口は私が担当します。","とうきょうがわのまどぐちはわたしがたんとうします。","東京側の窓口 → 技術側の窓口は私が担当します。"
"015","自我介绍、公司介绍和业务介绍","我简单说明一下我司的服务。","簡単に弊社のサービスをご説明します。","かんたんにへいしゃのサービスをごせつめいします。","弊社のサービス → 簡単に今回の提案をご説明します。"
"016","自我介绍、公司介绍和业务介绍","我们连导入后的运营也提供支持。","私たちは導入後の運用までサポートしています。","わたしたちはどうにゅうごのうんようまでさぽーとしています。","導入後の運用 → 私たちは導入後の教育までサポートしています。"
"017","自我介绍、公司介绍和业务介绍","今天先只说明概要。","今日は概要だけ先にお伝えします。","きょうはがいようだけさきにおつたえします。","概要だけ → 今日は費用感だけ先にお伝えします。"
"018","自我介绍、公司介绍和业务介绍","详细内容我整理在资料里了。","詳細は資料にまとめています。","しょうさいはしりょうにまとめています。","資料 → 詳細は別紙にまとめています。"
"019","自我介绍、公司介绍和业务介绍","可以配合贵公司的课题进行提案。","御社の課題に合わせてご提案できます。","おんしゃのかだいにあわせてごていあんできます。","御社の課題 → 御社の体制に合わせてご提案できます。"
"020","自我介绍、公司介绍和业务介绍","我觉得先从小范围开始比较好。","まずは小さく始める形がよいと思います。","まずはちいさくはじめるかたちがよいとおもいます。","小さく始める → まずは一部署で始める形がよいと思います。"
"021","会议开场、主持会议和转换话题","今天感谢您抽时间。","本日はお時間をいただき、ありがとうございます。","ほんじつはおじかんをいただき、ありがとうございます。","お時間 → 本日は貴重なお時間をいただき、ありがとうございます。"
"022","会议开场、主持会议和转换话题","首先请让我确认今天的目的。","まず、今日の目的を確認させてください。","まず、きょうのもくてきをかくにんさせてください。","今日の目的 → まず、今回のゴールを確認させてください。"
"023","会议开场、主持会议和转换话题","今天我讲三点。","本日は三点についてお話しします。","ほんじつはさんてんについておはなしします。","三点 → 本日は二点についてお話しします。"
"024","会议开场、主持会议和转换话题","我先说结论。","先に結論から申し上げます。","さきにけつろんからもうしあげます。","結論 → 先に背景から申し上げます。"
"025","会议开场、主持会议和转换话题","接下来进入费用的话题。","ここからは費用の話に移ります。","ここからはひようのはなしにうつります。","費用の話 → ここからは運用の話に移ります。"
"026","会议开场、主持会议和转换话题","可以稍微回到刚才的话题吗？","少し話を戻してもよろしいでしょうか。","すこしはなしをもどしてもよろしいでしょうか。","話を戻す → 少し前提を戻してもよろしいでしょうか。"
"027","会议开场、主持会议和转换话题","关于这一点，我想听听大家的意见。","この点について、皆さんのご意見を伺いたいです。","このてんについて、みなさんのごいけんをうかがいたいです。","この点 → この進め方について、皆さんのご意見を伺いたいです。"
"028","会议开场、主持会议和转换话题","我先在这里整理一下。","いったんここで整理します。","いったんここでせいりします。","ここで整理 → いったん論点を整理します。"
"029","会议开场、主持会议和转换话题","进入下一个议题。","次の議題に進みます。","つぎのぎだいにすすみます。","次の議題 → 次のテーマに進みます。"
"030","会议开场、主持会议和转换话题","最后确认决定事项。","最後に決定事項を確認します。","さいごにけっていじこうをかくにんします。","決定事項 → 最後に宿題事項を確認します。"
"031","确认信息、统一认知、提问和澄清","请让我确认一下理解是否一致。","認識が合っているか確認させてください。","にんしきがあっているかかくにんさせてください。","認識が合っているか → 方向性が合っているか確認させてください。"
"032","确认信息、统一认知、提问和澄清","也就是说，优先级第一是交期，我这样理解。","つまり、優先順位は納期が一番という理解です。","つまり、ゆうせんじゅんいはのうきがいちばんというりかいです。","納期が一番 → つまり、優先順位は品質が一番という理解です。"
"033","确认信息、统一认知、提问和澄清","如果这里是我理解错了，请告诉我。","ここは私の理解が違っていたら教えてください。","ここはわたしのりかいがちがっていたらおしえてください。","私の理解 → ここは前提が違っていたら教えてください。"
"034","确认信息、统一认知、提问和澄清","可以再具体问一下吗？","もう少し具体的に伺ってもよろしいですか。","もうすこしぐたいてきにうかがってもよろしいですか。","具体的に → もう少し背景を伺ってもよろしいですか。"
"035","确认信息、统一认知、提问和澄清","按这个前提推进没有问题吧？","この前提で進めて問題ないでしょうか。","このぜんていですすめてもんだいないでしょうか。","この前提 → このスケジュールで進めて問題ないでしょうか。"
"036","确认信息、统一认知、提问和澄清","这次范围到哪里为止？","どこまでが今回のスコープでしょうか。","どこまでがこんかいのすこーぷでしょうか。","今回のスコープ → どこまでが初期対応のスコープでしょうか。"
"037","确认信息、统一认知、提问和澄清","那个数字是概算还是确定值？","その数字は概算でしょうか、確定でしょうか。","そのすうじはがいさんでしょうか、かくていでしょうか。","数字 → その金額は概算でしょうか、確定でしょうか。"
"038","确认信息、统一认知、提问和澄清","您刚才的问题是关于运用方面的吗？","いまのご質問は、運用面のお話でしょうか。","いまのごしつもんは、うんようめんのおはなしでしょうか。","運用面 → いまのご質問は、費用面のお話でしょうか。"
"039","确认信息、统一认知、提问和澄清","不好意思，可以再说一遍吗？","すみません、もう一度だけお願いできますか。","すみません、もういちどだけおねがいできますか。","もう一度 → すみません、最後の部分だけお願いできますか。"
"040","确认信息、统一认知、提问和澄清","我这边请确认一点。","私から一点確認させてください。","わたしからいってんかくにんさせてください。","一点確認 → 私から一点補足させてください。"
"041","日程安排、期限确认、任务分工和后续跟进","请让我确认一下大致日程感。","スケジュール感を確認させてください。","すけじゅーるかんをかくにんさせてください。","スケジュール感 → 費用感を確認させてください。"
"042","日程安排、期限确认、任务分工和后续跟进","期限是本周五，可以吗？","期限は今週金曜でよろしいでしょうか。","きげんはこんしゅうきんようでよろしいでしょうか。","今週金曜 → 期限は来週水曜でよろしいでしょうか。"
"043","日程安排、期限确认、任务分工和后续跟进","这个由我这边处理。","こちらは私の方で対応します。","こちらはわたしのほうでたいおうします。","私の方 → こちらは開発チームの方で対応します。"
"044","日程安排、期限确认、任务分工和后续跟进","那部分我会向开发团队确认。","その部分は開発チームに確認します。","そのぶぶんはかいはつちーむにかくにんします。","開発チーム → その部分は法務チームに確認します。"
"045","日程安排、期限确认、任务分工和后续跟进","下次之前我会准备草案。","次回までにたたき台を用意します。","じかいまでにたたきだいをよういします。","たたき台 → 次回までに見積書を用意します。"
"046","日程安排、期限确认、任务分工和后续跟进","今天之内共享会议纪要。","今日中に議事メモを共有します。","きょうじゅうにぎじめもをきょうゆうします。","議事メモ → 今日中に修正版を共有します。"
"047","日程安排、期限确认、任务分工和后续跟进","进展我明天上午联系您。","進捗は明日の午前中にご連絡します。","しんちょくはあしたのごぜんちゅうにごれんらくします。","明日の午前中 → 進捗は金曜の夕方にご連絡します。"
"048","日程安排、期限确认、任务分工和后续跟进","我们整理一下分工吧。","役割分担を一度整理しましょう。","やくわりぶんたんをいちどせいりしましょう。","役割分担 → 確認事項を一度整理しましょう。"
"049","日程安排、期限确认、任务分工和后续跟进","如果可能会延迟，我会尽早共享。","もし遅れそうなら早めに共有します。","もしおくれそうならはやめにきょうゆうします。","遅れそうなら → もし難しそうなら早めに共有します。"
"050","日程安排、期限确认、任务分工和后续跟进","下周能给我十五分钟吗？","来週、十五分だけお時間をいただけますか。","らいしゅう、じゅうごふんだけおじかんをいただけますか。","十五分だけ → 来週、三十分だけお時間をいただけますか。"
"051","产品介绍、项目说明、PoC和合作推进","这个功能可以和现有系统联动。","この機能は既存システムと連携できます。","このきのうはきそんしすてむとれんけいできます。","既存システム → この機能は会計システムと連携できます。"
"052","产品介绍、项目说明、PoC和合作推进","先用小规模验证来确认效果吧。","まずは小規模な検証で効果を確認しましょう。","まずはしょうきぼなけんしょうでこうかをかくにんしましょう。","小規模な検証 → まずは一部門での検証で効果を確認しましょう。"
"053","产品介绍、项目说明、PoC和合作推进","正式导入前先梳理风险。","本番導入の前にリスクを洗い出します。","ほんばんどうにゅうのまえにりすくをあらいだします。","リスク → 本番導入の前に課題を洗い出します。"
"054","产品介绍、项目说明、PoC和合作推进","画面尽量做得简单。","画面はできるだけシンプルにしています。","がめんはできるだけしんぷるにしています。","画面 → 操作はできるだけシンプルにしています。"
"055","产品介绍、项目说明、PoC和合作推进","想确认客户侧的数据格式。","お客様側のデータ形式を確認したいです。","おきゃくさまがわのでーたけいしきをかくにんしたいです。","データ形式 → お客様側の運用フローを確認したいです。"
"056","产品介绍、项目说明、PoC和合作推进","初始设置由我们这边支持。","初期設定はこちらでサポートします。","しょきせっていはこちらでさぽーとします。","初期設定 → アカウント設定はこちらでサポートします。"
"057","产品介绍、项目说明、PoC和合作推进","操作三步就能完成。","操作は三ステップで完了します。","そうさはさんすてっぷでかんりょうします。","三ステップ → 設定は二ステップで完了します。"
"058","产品介绍、项目说明、PoC和合作推进","这次比起精度，更重视易运用性。","今回は精度より運用しやすさを重視します。","こんかいはせいどよりうんようしやすさをじゅうしします。","運用しやすさ → 今回は速度より安定性を重視します。"
"059","产品介绍、项目说明、PoC和合作推进","也会和合作伙伴企业联动推进。","パートナー企業とも連携して進めます。","ぱーとなーきぎょうともれんけいしてすすめます。","パートナー企業 → 外部ベンダーとも連携して進めます。"
"060","产品介绍、项目说明、PoC和合作推进","导入后的咨询支持体制也会说明。","導入後の問い合わせ体制もご説明します。","どうにゅうごのといあわせたいせいもごせつめいします。","問い合わせ体制 → 導入後の運用体制もご説明します。"
"061","报价、成本、合同条件和商务谈判","我会给您出一个概算报价。","概算のお見積りをお出しします。","がいさんのおみつもりをおだしします。","概算 → 正式なお見積りをお出しします。"
"062","报价、成本、合同条件和商务谈判","我简单说明一下金额明细。","金額の内訳を簡単にご説明します。","きんがくのうちわけをかんたんにごせつめいします。","金額の内訳 → 月額費用の内訳を簡単にご説明します。"
"063","报价、成本、合同条件和商务谈判","分为初始费用和月费。","初期費用と月額費用に分かれます。","しょきひようとげつがくひようにわかれます。","月額費用 → 初期費用と保守費用に分かれます。"
"064","报价、成本、合同条件和商务谈判","这个条件下会产生追加费用。","この条件ですと、追加費用が発生します。","このじょうけんですと、ついかひようがはっせいします。","追加費用 → この条件ですと、追加作業が発生します。"
"065","报价、成本、合同条件和商务谈判","合同期间以一年为单位。","契約期間は一年単位になります。","けいやくきかんはいちねんたんいになります。","一年単位 → 契約期間は半年単位になります。"
"066","报价、成本、合同条件和商务谈判","付款条件是月底结算、次月底付款。","支払い条件は月末締め翌月末払いです。","しはらいじょうけんはげつまつじめよくげつまつばらいです。","月末締め翌月末払い → 支払い条件は月末締め翌月十五日払いです。"
"067","报价、成本、合同条件和商务谈判","价格方面我在公司内部再确认。","価格については社内で再確認します。","かかくについてはしゃないでさいかくにんします。","価格 → 納期については社内で再確認します。"
"068","报价、成本、合同条件和商务谈判","可以根据预算感调整构成。","予算感に合わせて構成を調整できます。","よさんかんにあわせてこうせいをちょうせいできます。","予算感 → 利用人数に合わせて構成を調整できます。"
"069","报价、成本、合同条件和商务谈判","这里还有一点谈判空间。","ここは少し交渉の余地があります。","ここはすこしこうしょうのよちがあります。","交渉の余地 → 納期については少し調整の余地があります。"
"070","报价、成本、合同条件和商务谈判","最终条件在合同书里确认吧。","最終条件は契約書で確認しましょう。","さいしゅうじょうけんはけいやくしょでかくにんしましょう。","契約書 → 最終条件は発注書で確認しましょう。"
"071","委婉反对、说明风险、提出替代方案和保留意见","我赞成这个方向，但有一点担忧。","その方向性には賛成ですが、一点だけ懸念があります。","そのほうこうせいにはさんせいですが、いってんだけけねんがあります。","一点だけ懸念 → その方向性には賛成ですが、費用面で懸念があります。"
"072","委婉反对、说明风险、提出替代方案和保留意见","目前来看，我觉得风险有点高。","現時点では、少しリスクが高いと思います。","げんじてんでは、すこしりすくがたかいとおもいます。","リスクが高い → 現時点では、少しコストが高いと思います。"
"073","委婉反对、说明风险、提出替代方案和保留意见","在马上推进之前，我想确认影响范围。","すぐに進める前に、影響範囲を確認したいです。","すぐにすすめるまえに、えいきょうはんいをかくにんしたいです。","影響範囲 → すぐに進める前に、費用感を確認したいです。"
"074","委婉反对、说明风险、提出替代方案和保留意见","作为替代方案，有分阶段推进的方法。","別案として、段階的に進める方法があります。","べつあんとして、だんかいてきにすすめるほうほうがあります。","段階的に進める → 別案として、一部門から始める方法があります。"
"075","委婉反对、说明风险、提出替代方案和保留意见","这个条件下，交期会变得很紧。","その条件ですと、納期が厳しくなります。","そのじょうけんですと、のうきがきびしくなります。","納期が厳しくなる → その条件ですと、体制が厳しくなります。"
"076","委婉反对、说明风险、提出替代方案和保留意见","我理解您的想法，但这次想谨慎判断。","お気持ちは理解していますが、今回は慎重に判断したいです。","おきもちはりかいしていますが、こんかいはしんちょうにはんだんしたいです。","慎重に判断 → お気持ちは理解していますが、今回は社内で確認したいです。"
"077","委婉反对、说明风险、提出替代方案和保留意见","我先带回去确认一下，可以吗？","いったん持ち帰って確認してもよろしいでしょうか。","いったんもちかえってかくにんしてもよろしいでしょうか。","持ち帰って確認 → いったん社内で確認してもよろしいでしょうか。"
"078","委婉反对、说明风险、提出替代方案和保留意见","这里我觉得不要勉强决定比较好。","ここは無理に決めない方がよいと思います。","ここはむりにきめないほうがよいとおもいます。","無理に決めない → ここは今日中に決めない方がよいと思います。"
"079","委婉反对、说明风险、提出替代方案和保留意见","需要稍微重新审视优先级。","優先順位を少し見直す必要があります。","ゆうせんじゅんいをすこしみなおすひつようがあります。","優先順位 → 体制を少し見直す必要があります。"
"080","委婉反对、说明风险、提出替代方案和保留意见","我准备两个替代方案。","代替案を二つ用意します。","だいたいあんをふたつよういします。","二つ → 代替案を三つ用意します。"
"081","客户饭局、商务社交和轻松聊天","今天感谢您的邀请。","今日はお招きいただき、ありがとうございます。","きょうはおまねきいただき、ありがとうございます。","お招き → 今日はお時間をいただき、ありがとうございます。"
"082","客户饭局、商务社交和轻松聊天","我们先干杯吧。","まずは乾杯しましょう。","まずはかんぱいしましょう。","乾杯 → まずは一杯いただきましょう。"
"083","客户饭局、商务社交和轻松聊天","菜很好吃呢。","お料理、とてもおいしいですね。","おりょうり、とてもおいしいですね。","お料理 → この日本酒、とてもおいしいですね。"
"084","客户饭局、商务社交和轻松聊天","您在东京已经很久了吗？","東京にはもう長くいらっしゃるんですか。","とうきょうにはもうながくいらっしゃるんですか。","東京 → 日本にはもう長くいらっしゃるんですか。"
"085","客户饭局、商务社交和轻松聊天","最近忙吗？","最近、お忙しいですか。","さいきん、おいそがしいですか。","最近 → 今月はお忙しいですか。"
"086","客户饭局、商务社交和轻松聊天","工作以外您一般做什么？","仕事以外では何をされていますか。","しごといがいではなにをされていますか。","仕事以外 → 週末は何をされていますか。"
"087","客户饭局、商务社交和轻松聊天","这个话题我还想再听一点。","そのお話、もう少し聞きたいです。","そのおはなし、もうすこしききたいです。","そのお話 → そのご経験、もう少し聞きたいです。"
"088","客户饭局、商务社交和轻松聊天","今天工作的话题稍微少一点吧。","今日は仕事の話は少し控えめにしましょう。","きょうはしごとのはなしはすこしひかえめにしましょう。","仕事の話 → 今日は難しい話は少し控えめにしましょう。"
"089","客户饭局、商务社交和轻松聊天","下次一定由我们这边安排。","次回はぜひこちらでご案内します。","じかいはぜひこちらでごあんないします。","こちらでご案内 → 次回はぜひ弊社の近くでご案内します。"
"090","客户饭局、商务社交和轻松聊天","今天谢谢您，让我度过了愉快的时间。","本日は楽しい時間をありがとうございました。","ほんじつはたのしいじかんをありがとうございました。","楽しい時間 → 本日は貴重なお話をありがとうございました。"
"091","餐厅、出租车、购物、健身房等日常生活场景","我是预约过的李。","予約している李です。","よやくしているりです。","予約している → 見学予約をしている李です。"
"092","餐厅、出租车、购物、健身房等日常生活场景","可以给我收据吗？","領収書をいただけますか。","りょうしゅうしょをいただけますか。","領収書 → レシートをいただけますか。"
"093","餐厅、出租车、购物、健身房等日常生活场景","请到新宿站。","新宿駅までお願いします。","しんじゅくえきまでおねがいします。","新宿駅 → 東京駅までお願いします。"
"094","餐厅、出租车、购物、健身房等日常生活场景","请在这里让我下车。","ここで降ろしてください。","ここでおろしてください。","ここ → 次の角で降ろしてください。"
"095","餐厅、出租车、购物、健身房等日常生活场景","不用袋子。","袋は不要です。","ふくろはふようです。","袋 → レシートは不要です。"
"096","餐厅、出租车、购物、健身房等日常生活场景","有再小一点的尺码吗？","もう少し小さいサイズはありますか。","もうすこしちいさいさいずはありますか。","小さいサイズ → もう少し大きいサイズはありますか。"
"097","餐厅、出租车、购物、健身房等日常生活场景","只参观一下也可以吗？","見学だけでも大丈夫ですか。","けんがくだけでもだいじょうぶですか。","見学だけ → 体験だけでも大丈夫ですか。"
"098","餐厅、出租车、购物、健身房等日常生活场景","请告诉我入会手续。","入会手続きについて教えてください。","にゅうかいてつづきについておしえてください。","入会手続き → 退会手続きについて教えてください。"
"099","餐厅、出租车、购物、健身房等日常生活场景","今天想轻量运动。","今日は軽めに運動したいです。","きょうはかるめにうんどうしたいです。","軽めに → 今日はしっかり運動したいです。"
"100","餐厅、出租车、购物、健身房等日常生活场景","不是现金，可以刷卡支付吗？","現金ではなくカードで払えますか。","げんきんではなくかーどではらえますか。","カード → 現金ではなく電子マネーで払えますか。"
